parameter,base_config,kind,status,kwarg,n_values_swept,inert,n_tracks_changed,n_changed_observations,n_skipped_observations,n_unevaluable_tracks,changed_tracks,category
replace_endpoints,default,pv,TESTED_CURATED,replace_endpoints_with_lowpass,49,False,51,2443,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20181046;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
replace_endpoints,nofilter,pv,TESTED_NEW,replace_endpoints_with_lowpass,49,True,0,0,0,0,,POR_DESENHO
replace_endpoints,nosmoothing,pv,TESTED_NEW,replace_endpoints_with_lowpass,49,False,51,2448,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20181046;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
replace_endpoints,manual_sm,pv,TESTED_NEW,replace_endpoints_with_lowpass,49,False,51,2448,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20181046;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
replace_endpoints,manual_sm2,pv,TESTED_NEW,replace_endpoints_with_lowpass,49,False,51,2440,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20181046;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
replace_endpoints,mature_derivative,pv,SKIPPED_REDUNDANT,replace_endpoints_with_lowpass,,,,,,,,
replace_endpoints,mature_amplitude,pv,SKIPPED_REDUNDANT,replace_endpoints_with_lowpass,,,,,,,,
replace_endpoints,plateau_single_derivative,pv,SKIPPED_REDUNDANT,replace_endpoints_with_lowpass,,,,,,,,
replace_endpoints,plateau_single_vorticity,pv,SKIPPED_REDUNDANT,replace_endpoints_with_lowpass,,,,,,,,
replace_endpoints,plateau_sustained_derivative,pv,SKIPPED_REDUNDANT,replace_endpoints_with_lowpass,,,,,,,,
replace_endpoints,plateau_sustained_vorticity,pv,SKIPPED_REDUNDANT,replace_endpoints_with_lowpass,,,,,,,,
replace_endpoints,extrema_prominence_on,pv,SKIPPED_REDUNDANT,replace_endpoints_with_lowpass,,,,,,,,
replace_endpoints,extrema_distance_on,pv,SKIPPED_REDUNDANT,replace_endpoints_with_lowpass,,,,,,,,
replace_endpoints,decay_tail_on,pv,SKIPPED_REDUNDANT,replace_endpoints_with_lowpass,,,,,,,,
savgol_poly,default,pv,TESTED_CURATED,savgol_polynomial,4,False,45,90,0,0,20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170342;20170409;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20190325;20190397;20190639;20190691;20190870;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
savgol_poly,nofilter,pv,TESTED_NEW,savgol_polynomial,4,False,51,102,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20181046;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
savgol_poly,nosmoothing,pv,TESTED_CURATED,savgol_polynomial,4,True,0,0,0,0,,POR_DESENHO
savgol_poly,manual_sm,pv,TESTED_NEW,savgol_polynomial,4,False,18,36,0,0,20150436;20160735;20170225;20170520;20170587;20170756;20170760;20170794;20170899;20180129;20180170;20180300;20180654;20180733;20191014;20203389;20205386;20207822,
savgol_poly,manual_sm2,pv,TESTED_NEW,savgol_polynomial,4,False,47,94,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170587;20170756;20170760;20170794;20170899;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
savgol_poly,mature_derivative,pv,SKIPPED_REDUNDANT,savgol_polynomial,,,,,,,,
savgol_poly,mature_amplitude,pv,SKIPPED_REDUNDANT,savgol_polynomial,,,,,,,,
savgol_poly,plateau_single_derivative,pv,SKIPPED_REDUNDANT,savgol_polynomial,,,,,,,,
savgol_poly,plateau_single_vorticity,pv,SKIPPED_REDUNDANT,savgol_polynomial,,,,,,,,
savgol_poly,plateau_sustained_derivative,pv,SKIPPED_REDUNDANT,savgol_polynomial,,,,,,,,
savgol_poly,plateau_sustained_vorticity,pv,SKIPPED_REDUNDANT,savgol_polynomial,,,,,,,,
savgol_poly,extrema_prominence_on,pv,SKIPPED_REDUNDANT,savgol_polynomial,,,,,,,,
savgol_poly,extrema_distance_on,pv,SKIPPED_REDUNDANT,savgol_polynomial,,,,,,,,
savgol_poly,decay_tail_on,pv,SKIPPED_REDUNDANT,savgol_polynomial,,,,,,,,
use_filter,default,pv,TESTED_CURATED,use_filter,2,False,41,41,0,0,20150377;20150528;20150532;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180628;20180733;20180759;20181046;20190325;20190639;20190691;20190879;20191014;20191104;20191155;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
use_filter,nofilter,pv,TESTED_NEW,use_filter,2,False,41,41,0,0,20150377;20150528;20150532;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180628;20180733;20180759;20181046;20190325;20190639;20190691;20190879;20191014;20191104;20191155;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
use_filter,nosmoothing,pv,TESTED_NEW,use_filter,2,False,51,51,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20181046;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
use_filter,manual_sm,pv,TESTED_NEW,use_filter,2,False,51,51,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20181046;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
use_filter,manual_sm2,pv,TESTED_NEW,use_filter,2,False,46,46,0,0,20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160587;20160735;20170154;20170225;20170342;20170409;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180733;20180759;20181046;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20207822,
use_filter,mature_derivative,pv,SKIPPED_REDUNDANT,use_filter,,,,,,,,
use_filter,mature_amplitude,pv,SKIPPED_REDUNDANT,use_filter,,,,,,,,
use_filter,plateau_single_derivative,pv,SKIPPED_REDUNDANT,use_filter,,,,,,,,
use_filter,plateau_single_vorticity,pv,SKIPPED_REDUNDANT,use_filter,,,,,,,,
use_filter,plateau_sustained_derivative,pv,SKIPPED_REDUNDANT,use_filter,,,,,,,,
use_filter,plateau_sustained_vorticity,pv,SKIPPED_REDUNDANT,use_filter,,,,,,,,
use_filter,extrema_prominence_on,pv,SKIPPED_REDUNDANT,use_filter,,,,,,,,
use_filter,extrema_distance_on,pv,SKIPPED_REDUNDANT,use_filter,,,,,,,,
use_filter,decay_tail_on,pv,SKIPPED_REDUNDANT,use_filter,,,,,,,,
thr_int_len,default,phase,TESTED_CURATED,threshold_intensification_length,59,False,4,71,0,0,20160735;20170756;20170794;20180733,
thr_int_len,nofilter,phase,TESTED_NEW,threshold_intensification_length,59,False,6,121,0,0,20150656;20160735;20170756;20170794;20180733;20190691,
thr_int_len,nosmoothing,phase,TESTED_NEW,threshold_intensification_length,59,False,14,410,0,0,20150561;20150646;20150656;20160735;20170409;20170756;20170794;20180654;20180733;20190325;20190691;20191014;20203947;20206498,
thr_int_len,manual_sm,phase,TESTED_NEW,threshold_intensification_length,59,False,14,372,0,0,20150561;20150646;20150656;20160735;20170409;20170756;20170794;20180654;20180733;20190325;20190691;20191014;20203947;20206498,
thr_int_len,manual_sm2,phase,TESTED_NEW,threshold_intensification_length,59,False,9,200,0,0,20150646;20150656;20160735;20170756;20170794;20180733;20190691;20191014;20203947,
thr_int_len,mature_derivative,phase,SKIPPED_DEFERRED,threshold_intensification_length,,,,,,,,
thr_int_len,mature_amplitude,phase,SKIPPED_DEFERRED,threshold_intensification_length,,,,,,,,
thr_int_len,plateau_single_derivative,phase,SKIPPED_DEFERRED,threshold_intensification_length,,,,,,,,
thr_int_len,plateau_single_vorticity,phase,SKIPPED_DEFERRED,threshold_intensification_length,,,,,,,,
thr_int_len,plateau_sustained_derivative,phase,SKIPPED_DEFERRED,threshold_intensification_length,,,,,,,,
thr_int_len,plateau_sustained_vorticity,phase,SKIPPED_DEFERRED,threshold_intensification_length,,,,,,,,
thr_int_len,extrema_prominence_on,phase,SKIPPED_DEFERRED,threshold_intensification_length,,,,,,,,
thr_int_len,extrema_distance_on,phase,SKIPPED_DEFERRED,threshold_intensification_length,,,,,,,,
thr_int_len,decay_tail_on,phase,SKIPPED_DEFERRED,threshold_intensification_length,,,,,,,,
thr_dec_len,default,phase,TESTED_CURATED,threshold_decay_length,59,False,16,375,0,0,20150646;20150656;20160587;20160735;20170225;20170794;20171179;20180733;20190325;20190639;20202023;20203389;20203947;20204655;20205386;20206498,
thr_dec_len,nofilter,phase,TESTED_NEW,threshold_decay_length,59,False,16,391,0,0,20150646;20150656;20160587;20160735;20170225;20170899;20171179;20180263;20180733;20181046;20190691;20202023;20203389;20203947;20205386;20206498,
thr_dec_len,nosmoothing,phase,TESTED_NEW,threshold_decay_length,59,False,22,500,0,0,20150561;20150646;20150656;20160587;20160735;20170225;20170794;20170899;20171179;20180263;20180628;20180654;20180733;20190325;20190639;20190691;20202023;20203389;20203947;20205386;20206498;20207822,
thr_dec_len,manual_sm,phase,TESTED_NEW,threshold_decay_length,59,False,21,484,0,0,20150561;20150646;20150656;20160587;20160735;20170225;20170794;20170899;20171179;20180263;20180628;20180654;20180733;20190325;20190639;20190691;20202023;20203389;20203947;20205386;20206498,
thr_dec_len,manual_sm2,phase,TESTED_NEW,threshold_decay_length,59,False,17,387,0,0,20150646;20150656;20160587;20160735;20170225;20170794;20171179;20180263;20180733;20190325;20190639;20190691;20202023;20203389;20203947;20205386;20206498,
thr_dec_len,mature_derivative,phase,SKIPPED_DEFERRED,threshold_decay_length,,,,,,,,
thr_dec_len,mature_amplitude,phase,SKIPPED_DEFERRED,threshold_decay_length,,,,,,,,
